Date,Open,High,Low,Close,Volume
30.03.2015 17:00:00.000 GMT-0400,2082.171,2084.489,2064.183,2066.473,11.0339
31.03.2015 17:00:00.000 GMT-0400,2066.142,2068.195,2041.359,2061.980,39.4076
01.04.2015 17:00:00.000 GMT-0400,2061.697,2072.494,2051.938,2068.495,15.1964
02.04.2015 17:00:00.000 GMT-0400,2068.166,2071.380,2045.880,2047.130,0.0025
03.04.2015 17:00:00.000 GMT-0400,2047.130,2047.130,2047.130,2047.130,0
04.04.2015 17:00:00.000 GMT-0400,2047.130,2047.130,2047.130,2047.130,0
05.04.2015 17:00:00.000 GMT-0400,2048.147,2087.695,2047.456,2080.192,5.861000000000001
06.04.2015 17:00:00.000 GMT-0400,2079.982,2090.497,2073.965,2075.982,22.560200000000002
07.04.2015 17:00:00.000 GMT-0400,2075.737,2086.524,2072.175,2081.100,37.199999999999996
08.04.2015 17:00:00.000 GMT-0400,2079.990,2093.367,2072.933,2090.980,29.2423
09.04.2015 17:00:00.000 GMT-0400,2092.538,2102.476,2089.978,2101.977,22.842200000000002
10.04.2015 17:00:00.000 GMT-0400,2101.977,2101.977,2101.977,2101.977,0
11.04.2015 17:00:00.000 GMT-0400,2101.977,2101.977,2101.977,2101.977,0
12.04.2015 17:00:00.000 GMT-0400,2099.894,2107.551,2091.584,2091.917,25.3904
13.04.2015 17:00:00.000 GMT-0400,2096.032,2099.196,2082.324,2098.188,32.1556
14.04.2015 17:00:00.000 GMT-0400,2098.496,2112.199,2093.805,2108.171,36.374700000000004
15.04.2015 17:00:00.000 GMT-0400,2108.190,2111.548,2095.345,2107.980,28.012799999999995
16.04.2015 17:00:00.000 GMT-0400,2107.893,2108.995,2071.195,2083.489,31.982100000000003
17.04.2015 17:00:00.000 GMT-0400,2083.489,2083.489,2083.489,2083.489,0
18.04.2015 17:00:00.000 GMT-0400,2083.489,2083.489,2083.489,2083.489,0
19.04.2015 17:00:00.000 GMT-0400,2089.480,2104.699,2087.807,2100.490,1.5428
20.04.2015 17:00:00.000 GMT-0400,2102.609,2112.481,2094.905,2097.972,4.466600000000001
21.04.2015 17:00:00.000 GMT-0400,2099.344,2109.915,2086.669,2107.696,31.9299
22.04.2015 17:00:00.000 GMT-0400,2105.694,2120.688,2093.963,2113.492,9.3399
23.04.2015 17:00:00.000 GMT-0400,2109.962,2120.984,2109.957,2117.988,4.367
24.04.2015 17:00:00.000 GMT-0400,2117.988,2117.988,2117.988,2117.988,0
25.04.2015 17:00:00.000 GMT-0400,2117.988,2117.988,2117.988,2117.988,0
26.04.2015 17:00:00.000 GMT-0400,2118.678,2125.990,2106.599,2108.994,7.2123
27.04.2015 17:00:00.000 GMT-0400,2108.988,2116.493,2094.469,2115.997,23.375000000000004
28.04.2015 17:00:00.000 GMT-0400,2115.456,2118.993,2096.958,2106.688,28.201999999999998
29.04.2015 17:00:00.000 GMT-0400,2104.979,2106.499,2076.670,2085.682,12.596299999999998
30.04.2015 17:00:00.000 GMT-0400,2090.649,2108.720,2089.959,2107.672,7.1609
01.05.2015 17:00:00.000 GMT-0400,2107.672,2107.672,2107.672,2107.672,0
02.05.2015 17:00:00.000 GMT-0400,2107.672,2107.672,2107.672,2107.672,0
03.05.2015 17:00:00.000 GMT-0400,2106.149,2121.178,2104.172,2114.490,6.4285000000000005
04.05.2015 17:00:00.000 GMT-0400,2113.488,2117.997,2087.971,2089.674,24.812700000000003
05.05.2015 17:00:00.000 GMT-0400,2093.686,2098.159,2066.741,2079.680,52.8542
06.05.2015 17:00:00.000 GMT-0400,2079.695,2093.139,2062.389,2087.983,38.292199999999994
07.05.2015 17:00:00.000 GMT-0400,2091.470,2118.198,2089.749,2115.194,6.3214
08.05.2015 17:00:00.000 GMT-0400,2115.194,2115.194,2115.194,2115.194,0
09.05.2015 17:00:00.000 GMT-0400,2115.194,2115.194,2115.194,2115.194,0
10.05.2015 17:00:00.000 GMT-0400,2113.493,2117.935,2103.595,2104.495,21.919099999999997
11.05.2015 17:00:00.000 GMT-0400,2104.199,2105.495,2083.420,2098.481,37.1607
12.05.2015 17:00:00.000 GMT-0400,2104.691,2110.499,2095.952,2098.980,12.567300000000001
13.05.2015 17:00:00.000 GMT-0400,2099.521,2121.997,2096.145,2120.995,5.641100000000001
14.05.2015 17:00:00.000 GMT-0400,2120.987,2126.499,2116.974,2122.983,9.567300000000001
15.05.2015 17:00:00.000 GMT-0400,2122.983,2122.983,2122.983,2122.983,0
16.05.2015 17:00:00.000 GMT-0400,2122.983,2122.983,2122.983,2122.983,0
17.05.2015 17:00:00.000 GMT-0400,2121.495,2131.996,2115.350,2128.675,6.350799999999999
18.05.2015 17:00:00.000 GMT-0400,2131.488,2137.192,2124.323,2127.996,9.426300000000001
19.05.2015 17:00:00.000 GMT-0400,2127.692,2134.998,2122.025,2125.488,7.412800000000002
20.05.2015 17:00:00.000 GMT-0400,2122.191,2134.497,2119.152,2131.806,6.4754
21.05.2015 17:00:00.000 GMT-0400,2133.197,2133.197,2125.966,2126.987,7.604800000000001
22.05.2015 17:00:00.000 GMT-0400,2126.987,2126.987,2126.987,2126.987,0
23.05.2015 17:00:00.000 GMT-0400,2126.987,2126.987,2126.987,2126.987,0
24.05.2015 17:00:00.000 GMT-0400,2127.994,2128.499,2120.942,2124.913,2.1038
25.05.2015 17:00:00.000 GMT-0400,2123.488,2127.198,2098.971,2104.475,9.2158
26.05.2015 17:00:00.000 GMT-0400,2105.691,2126.499,2103.674,2123.246,8.1463
27.05.2015 17:00:00.000 GMT-0400,2120.650,2122.346,2112.290,2120.441,13.983600000000001
28.05.2015 17:00:00.000 GMT-0400,2121.676,2123.850,2103.753,2107.186,14.4751
29.05.2015 17:00:00.000 GMT-0400,2107.186,2107.186,2107.186,2107.186,0
30.05.2015 17:00:00.000 GMT-0400,2107.186,2107.186,2107.186,2107.186,0
31.05.2015 17:00:00.000 GMT-0400,2114.181,2120.000,2102.652,2112.178,10.3561
01.06.2015 17:00:00.000 GMT-0400,2111.189,2117.721,2096.452,2109.482,20.149100000000004
02.06.2015 17:00:00.000 GMT-0400,2110.175,2122.495,2108.984,2115.475,10.145399999999997
03.06.2015 17:00:00.000 GMT-0400,2113.687,2115.195,2093.015,2097.978,12.3603
04.06.2015 17:00:00.000 GMT-0400,2098.995,2104.500,2085.470,2093.181,11.6818
05.06.2015 17:00:00.000 GMT-0400,2093.181,2093.181,2093.181,2093.181,0
06.06.2015 17:00:00.000 GMT-0400,2093.181,2093.181,2093.181,2093.181,0
07.06.2015 17:00:00.000 GMT-0400,2093.471,2095.046,2078.682,2079.843,16.0993
08.06.2015 17:00:00.000 GMT-0400,2080.660,2086.190,2069.869,2079.700,22.9002
09.06.2015 17:00:00.000 GMT-0400,2083.956,2109.483,2080.886,2105.048,26.915600000000005
10.06.2015 17:00:00.000 GMT-0400,2105.539,2115.417,2103.525,2109.998,11.3323
11.06.2015 17:00:00.000 GMT-0400,2105.252,2109.471,2090.957,2093.684,14.410500000000003
